finca;variedad;lote;planta;diamF
sta.lu;sj;l4;sj4-7;17,25
sta.lu;sj;l4;sj4-7;14,5
sta.lu;sj;l4;sj4-7;14,8
sta.lu;sj;l4;sj4-7;13,3
sta.lu;sj;l4;sj4-6;16,5
sta.lu;sj;l4;sj4-6;16,2
sta.lu;sj;l4;sj4-6;15,3
sta.lu;sj;l4;sj4-6;15,95
sta.lu;sj;l4;sj4-6;16,05
sta.lu;sj;l4;sj4-6;15,7
sta.lu;sj;l4;sj4-6;16,1
sta.lu;sj;l4;sj4-6;16,5
sta.lu;sj;l4;sj4-6;16,5
sta.lu;sj;l4;sj4-6;14,4
sta.lu;sj;l4;sj4-5;17,05
sta.lu;sj;l4;sj4-5;15,7
sta.lu;sj;l4;sj4-5;15,5
sta.lu;sj;l4;sj4-5;17,35
sta.lu;sj;l4;sj4-5;15,2
sta.lu;sj;l4;sj4-5;16,3
sta.lu;sj;l4;sj4-5;16,7
sta.lu;sj;l4;sj4-5;16
sta.lu;sj;l4;sj4-5;16,05
sta.lu;sj;l4;sj4-5;15,15
tdb;sj;l1;sj1-6;18,05
tdb;sj;l1;sj1-6;14,85
tdb;sj;l1;sj1-6;15,1
tdb;sj;l1;sj1-6;16,1
tdb;sj;l1;sj1-6;17,15
tdb;sj;l1;sj1-6;16,75
tdb;sj;l1;sj1-6;17,7
tdb;sj;l1;sj1-6;16,65
tdb;sj;l1;sj1-6;18,1
tdb;sj;l1;sj1-6;16,2
tdb;sj;l1;sj1-6;15,75
tdb;sj;l1;sj1-6;16,35
tdb;sj;l1;sj1-7;18,8
tdb;sj;l1;sj1-7;15,95
tdb;sj;l1;sj1-7;15,75
tdb;sj;l1;sj1-7;17,65
tdb;sj;l1;sj1-7;15,8
tdb;sj;l1;sj1-7;16,65
tdb;sj;l1;sj1-7;18,75
tdb;sj;l1;sj1-7;14,65
tdb;sj;l1;sj1-7;15,25
tdb;sj;l1;sj1-7;16,3
tdb;sj;l1;sj1-7;15,75
tdb;sj;l1;sj1-5;15,1
tdb;sj;l1;sj1-5;15,5
tdb;sj;l1;sj1-5;17,55
tdb;sj;l1;sj1-5;16,5
tdb;sj;l1;sj1-5;16,2
tdb;sj;l1;sj1-5;16,4
tdb;sj;l1;sj1-5;16,1
tdb;sj;l1;sj1-5;16,2
tdb;sj;l1;sj1-5;15,55
tdb;sj;l1;sj1-5;16,3
tdb;sj;l1;sj1-5;14,15
tdb;sj;l1;sj1-5;14,9
tdb;sj;l1;sj1-4;17,1
tdb;sj;l1;sj1-4;15,4
tdb;sj;l1;sj1-4;14,65
tdb;sj;l1;sj1-4;15,4
tdb;sj;l1;sj1-4;14,95
tdb;sj;l1;sj1-4;15,5
tdb;sj;l1;sj1-4;15,15
tdb;sj;l1;sj1-4;16,15
tdb;sj;l1;sj1-4;15,35
tdb;sj;l1;sj1-4;16,6
tdb;sj;l1;sj1-4;15
tdb;sj;l1;sj1-4;15,65
tdb;sj;l1;sj1-4;15,9
tdb;sj;l1;sj1-3;14,6
tdb;sj;l1;sj1-3;16,9
tdb;sj;l1;sj1-3;15
tdb;sj;l1;sj1-3;15
tdb;sj;l1;sj1-3;16,8
tdb;sj;l1;sj1-3;14,6
tdb;sj;l1;sj1-3;14,55
tdb;sj;l1;sj1-3;14,75
tdb;sj;l1;sj1-3;14,3
tdb;sj;l1;sj1-3;14,4
tdb;sj;l1;sj1-3;14,2
tdb;sj;l1;sj1-2;15,4
tdb;sj;l1;sj1-2;17,7
tdb;sj;l1;sj1-2;15,25
tdb;sj;l1;sj1-2;15,5
tdb;sj;l1;sj1-2;15,1
tdb;sj;l1;sj1-2;17,45
tdb;sj;l1;sj1-2;15,8
tdb;sj;l1;sj1-2;15,8
tdb;sj;l1;sj1-2;15,1
tdb;sj;l1;sj1-2;14,95
tdb;sj;l1;sj1-2;14,7
tdb;sj;l1;sj1-1;16,2
tdb;sj;l1;sj1-1;16,2
tdb;sj;l1;sj1-1;16
tdb;sj;l1;sj1-1;16,8
tdb;sj;l1;sj1-1;15,2
tdb;sj;l1;sj1-1;16,2
tdb;sj;l1;sj1-1;15,9
tdb;sj;l1;sj1-1;16,5
tdb;sj;l1;sj1-1;15,85
tdb;sj;l1;sj1-1;16,55
tdb;sj;l1;sj1-1;15,25
tda;sj;l4;sj4-1;17,1
tda;sj;l4;sj4-1;17,8
tda;sj;l4;sj4-1;14,65
tda;sj;l4;sj4-1;15,9
tda;sj;l4;sj4-1;13,55
tda;sj;l4;sj4-1;17,3
tda;sj;l4;sj4-1;17,75
tda;sj;l4;sj4-1;17,9
tda;sj;l4;sj4-1;13,8
tda;sj;l4;sj4-1;16,4
tda;sj;l4;sj4-1;19,35
tda;sj;l4;sj4-1;19,1
tda;sj;l4;sj4-1;17,8
tda;sj;l4;sj4-1;17,4
tda;sj;l4;sj4-1;13,45
tda;sj;l4;sj4-2;16,9
tda;sj;l4;sj4-2;17,55
tda;sj;l4;sj4-2;17,95
tda;sj;l4;sj4-2;19,15
tda;sj;l4;sj4-2;17,9
tda;sj;l4;sj4-2;16,5
tda;sj;l4;sj4-2;17,2
tda;sj;l4;sj4-2;16,2
tda;sj;l4;sj4-2;17,9
tda;sj;l4;sj4-2;17,5
tda;sj;l4;sj4-2;17,3
tda;sj;l4;sj4-2;16,95
tda;sj;l4;sj4-2;15,4
tda;sj;l4;sj4-2;14,7
tda;sj;l4;sj4-3;15,95
tda;sj;l4;sj4-3;17,55
tda;sj;l4;sj4-3;17,7
tda;sj;l4;sj4-3;14,55
tda;sj;l4;sj4-3;15,65
tda;sj;l4;sj4-3;17,3
tda;sj;l4;sj4-3;17,6
tda;sj;l4;sj4-3;16,9
tda;sj;l4;sj4-3;17,4
tda;sj;l4;sj4-3;16,65
tda;sj;l4;sj4-3;15,9
tda;sj;l4;sj4-3;16,2
tda;sj;l4;sj4-3;17,2
tda;sj;l4;sj4-3;17,75
tda;sj;l4;sj4-5;15,6
tda;sj;l4;sj4-5;15,5
tda;sj;l4;sj4-5;17,4
tda;sj;l4;sj4-5;14,4
tda;sj;l4;sj4-5;18,6
tda;sj;l4;sj4-5;16,3
tda;sj;l4;sj4-5;17,6
tda;sj;l4;sj4-5;15,8
tda;sj;l4;sj4-5;16,6
tda;sj;l4;sj4-5;16
tda;sj;l4;sj4-5;17
tda;sj;l4;sj4-5;15,55
tda;sj;l4;sj4-5;18,8
tda;sj;l4;sj4-5;13,8
tda;sj;l4;sj4-5;16,35
tda;sj;l4;sj4-5;16,4
tda;sj;l4;sj4-4;15,65
tda;sj;l4;sj4-4;16,4
tda;sj;l4;sj4-4;14,25
tda;sj;l4;sj4-4;15,55
tda;sj;l4;sj4-4;13,8
tda;sj;l4;sj4-4;15,65
tda;sj;l4;sj4-4;14,4
tda;sj;l4;sj4-4;15,55
tda;sj;l4;sj4-4;14,15
tda;sj;l4;sj4-4;14,55
tda;sj;l4;sj4-4;15,25
tda;sj;l4;sj4-4;19
tda;sj;l4;sj4-4;13,7
tda;sj;l4;sj4-4;14,6
tda;sj;l4;sj4-4;17,2
tda;sj;l4;sj4-7;17,5
tda;sj;l4;sj4-7;14,95
tda;sj;l4;sj4-7;15,25
tda;sj;l4;sj4-7;14,75
tda;sj;l4;sj4-7;16,25
tda;sj;l4;sj4-7;17,9
tda;sj;l4;sj4-7;15,2
tda;sj;l4;sj4-7;15
tda;sj;l4;sj4-7;16,8
tda;sj;l4;sj4-7;15
tda;sj;l4;sj4-7;14,9
tda;sj;l4;sj4-7;16,5
tda;sj;l4;sj4-7;15,05
tda;sj;l4;sj4-6;17,25
tda;sj;l4;sj4-6;17,15
tda;sj;l4;sj4-6;16,25
tda;sj;l4;sj4-6;17,75
tda;sj;l4;sj4-6;15,7
tda;sj;l4;sj4-6;15,2
tda;sj;l4;sj4-6;14,6
tda;sj;l4;sj4-6;14,8
tda;sj;l4;sj4-6;16,25
tda;sj;l4;sj4-6;15,85
tda;sj;l4;sj4-6;15,15
tda;sj;l4;sj4-6;14,8
tdb;sj;l2;sj2-7;18
tdb;sj;l2;sj2-7;17,2
tdb;sj;l2;sj2-7;17,6
tdb;sj;l2;sj2-7;16,95
tdb;sj;l2;sj2-7;17,7
tdb;sj;l2;sj2-7;18,4
